Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Number of years of AmeriFlux BASE data,AmeriFlux BASE Data Start,AmeriFlux BASE Data End,Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,AmeriFlux FLUXNET Data Start,AmeriFlux FLUXNET Data End,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available
US-OWC,Old Woman Creek,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,930,10.7,USA,41.3795,-82.5125,174,10,2015,2024,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1418679,2015,2016,"2015, 2016",https://doi.org/10.17190/AMF/1871142,2015,,"CH4, CO2, FC, FCH4, GPP, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, WTD",
US-PFa,Park Falls/WLEF,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,No,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,823,4.33,USA,45.9459,-90.2723,470,30,1995,2024,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246090,,,,,1996,,"CH4, CO2, FC, FCH4, GPP, H, H2O, LE, NEE, P, PA, PPFD_IN, RECO, RH, SC, SCH4, SH, SLE, SWC, TA, TS, USTAR, VPD, WD, WS",
US-Rls,RCEW Low Sagebrush,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,333,8.4,USA,43.1439,-116.7356,1608,10,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1418682,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2229387,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-Rms,RCEW Mountain Big Sagebrush,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,800,5.4,USA,43.0645,-116.7486,2111,10,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1375202,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881587,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-Ro1,Rosemount- G21,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879,6.4,USA,44.7143,-93.0898,290,13,2004,2016,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1246092,2004,2016,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1881588,2003,2017,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",
US-Ro2,Rosemount- C7,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879,6.4,USA,44.7288,-93.0888,292,9,2008,2016,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1418683,2008,2016,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/2204876,2003,2017,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",
US-Ro4,Rosemount Prairie,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879,6.4,USA,44.6781,-93.0723,274,11,2014,2024,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1419507,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881589,2014,,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",
US-Ro5,Rosemount I18_South,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879,6.4,USA,44.691,-93.0576,283,8,2017,2024,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1419508,2017,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1818371,2017,,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",
US-Ro6,Rosemount I18_North,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879,6.4,USA,44.6946,-93.0578,282,8,2017,2024,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1419509,2017,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881590,2017,,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",
US-Rpf,Poker Flat Research Range: Succession from fire scar to deciduous forest,Yoshinobu Harazono (harazono2009gl@gmail.com),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dwc,"Subarctic: severe, dry winter, cool summer ",450,-0.8,USA,65.1198,-147.429,497,16,2008,2023,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1579540,2008,2023,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2229388,2008,,"CO2, D_SNOW, FC, FETCH_80, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SW_BC_IN, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",
US-Rwf,RCEW Upper Sheep Prescibed Fire,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,505,6.5,USA,43.1207,-116.7231,1878,10,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1617724,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881591,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-Rws,Reynolds Creek Wyoming big sagebrush,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,290,8.9,USA,43.1675,-116.7132,1425,10,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1375201,2014,2023,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881592,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-SdH,Nebraska SandHills Dry Valley,Tim J. Arkebauer (tarkebauer1@unl.edu),CC-BY-4.0,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dsb,Warm Summer Continental: warm summer,,,USA,42.0693,-101.4072,1081,6,2004,2009,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1246136,,,,,2004,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Skr,Shark River Slough (Tower SRS-6)  Everglades,Tiffany Troxler (troxlert@fiu.edu),Legacy,Yes,No,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Cwa,"Humid Subtropical: dry winter, hot summer",1259,23.77,USA,25.3629,-81.0776,0,20,2004,2023,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246105,,,,,2004,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, USTAR, VPD, WD, WS, WS_MAX, ZL",
US-Slt,Silas Little- New Jersey,Ken Clark (kenneth.clark@usda.gov),CC-BY-4.0,Yes,No,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",1138,11.04,USA,39.9138,-74.596,30,10,2005,2014,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1246096,,,,,2004,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Snd,Sherman Island,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csa,"Mediterranean: mild with dry, hot summer",358,15.6,USA,38.0366,-121.754,-5,8,2007,2014,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1246094,,,,,2007,2015,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-SP2,"Slashpine-Mize-clearcut-3yr,regen",Tim Martin (tamartin@ufl.edu),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1314.41,20.07,USA,29.7648,-82.2448,50,10,1999,2008,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",https://doi.org/10.17190/AMF/1246101,,,,,1999,2009,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-SP3,Slashpine-Donaldson-mid-rot- 12yrs,Tim Martin (tamartin@ufl.edu),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1312.35,20.25,USA,29.7548,-82.1633,50,12,1999,2010,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246102,,,,,1999,2013,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Syv,Sylvania Wilderness Area,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,826,3.81,USA,46.242,-89.3477,540,24,2001,2024,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246106,2001,2023,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2204879,2001,,"CO2, FC, FETCH_90, FETCH_MAX, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, THROUGHFALL, TS, USTAR, VPD, WD, WS, ZL",
US-Ton,Tonzi Ranch,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Csa,"Mediterranean: mild with dry, hot summer",559,15.8,USA,38.4309,-120.966,177,24,2001,2024,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1245971,2001,2023,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2204880,2001,,"CO2, CO2_SIGMA, COND_WATER, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, SWP, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",
US-Uaf,"University of Alaska, Fairbanks",Yoshinobu Harazono (harazono2009gl@gmail.com),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dwc,"Subarctic: severe, dry winter, cool summer ",263,-2.9,USA,64.8663,-147.8555,155,21,2003,2023,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1480322,,,,,2002,,"CH4, CO2, D_SNOW, FC, FCH4, FETCH_80, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SCH4, SWC, SW_IN, SW_OUT, TA, T_BOLE, T_CANOPY, TS, T_SONIC_SIGMA, TW, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WTD",
US-UMB,Univ. of Mich. Biological Station,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,803,5.83,USA,45.5598,-84.7138,234,25,2000,2024,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246107,2007,2021,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204882,1999,,"APAR, CO2, FAPAR, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-UMd,UMBS Disturbance,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,803,5.83,USA,45.5625,-84.6975,239,18,2007,2024,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246134,2007,2023,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881597,2007,,"CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_IN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
US-Var,Vaira Ranch- Ione,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csa,"Mediterranean: mild with dry, hot summer",559,15.8,USA,38.4133,-120.9508,129,25,2000,2024,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1245984,2000,2021,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1993904,2000,,"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-WBW,Walker Branch Watershed,Tilden Meyers (Tilden.Meyers@noaa.gov),Legacy,Yes,No,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1372.05,13.71,USA,35.9588,-84.2874,283,13,1995,2007,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1246109,,,,,1995,1999,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-WCr,Willow Creek,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,No,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,787,4.02,USA,45.8059,-90.0799,520,27,1998,2024,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246111,,,,,1999,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, VPD, WD, WS",
US-xAB,NEON Abby Road (ABBY),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",2450.59,10,USA,45.7624,-122.3303,363,7,2017,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1617726,2017,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2229403,2017,,"CH4, CH4_MIXING_RATIO, CO2, CO2C13, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",
